team,nickname,city,state,country,opr,epa_current,epa_recent,epa_mean,epa_max,wins,losses,ties,win_rate
1506,Metal Muscle,Flint,Michigan,USA,49.32349202342214,1642.0,0,0,0,415,319,0,0.5654
226,Hammerheads,Troy,Michigan,USA,60.17023058623327,1632.0,0,0,0,469,391,0,0.5453
2145,HAZMATS,Linden,Michigan,USA,49.48629021273276,1630.0,0,0,0,280,273,0,0.5063
1498,The Polar Pilots,Richmond,Michigan,USA,51.657271549943545,1591.0,0,0,0,18,12,0,0.6
201,The FEDS,Rochester,Michigan,USA,37.20292524997774,1558.0,0,0,0,435,424,0,0.5064
10612,Cougear,Auburn Hills,Michigan,USA,21.908615707794265,1499.0,0,0,0,10,14,0,0.4167
10672,Trojans,Livonia,Michigan,USA,15.87407033983355,1495.0,0,0,0,10,14,0,0.4167
10652,Lutheran Northwest Crusaders,Rochester Hills,Michigan,USA,20.240805955594805,1493.0,0,0,0,17,12,0,0.5862
10690,Cranbrook,Bloomfield Hills,Michigan,USA,21.689895210107732,1493.0,0,0,0,12,16,1,0.431
2604,Metal and Soul,Capac,Michigan,USA,3.2976639870577866,1357.0,0,0,0,191,299,0,0.3898
